AJLASDF!! n20w60.001    63.75 410


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      33.00      11.00       0.00       0.00     436.00       0.00
    2      34.00      26.00       0.00       0.00      74.00       0.00
    3      27.00       5.00       0.00     205.00     257.00       0.00
    4      45.00      41.00       0.00      19.00      87.00       0.00
    5      42.00      27.00       0.00      22.00      67.00       0.00
    6      40.00      25.00       0.00      29.00     103.00       0.00
    7      41.00      46.00       0.00      48.00      76.00       0.00
    8      37.00      40.00       0.00       2.00      92.00       0.00
    9       9.00      33.00       0.00     212.00     257.00       0.00
   10       5.00       5.00       0.00     154.00     236.00       0.00
   11      40.00      13.00       0.00       0.00      22.00       0.00
   12      47.00      26.00       0.00       0.00      79.00       0.00
   13       9.00       8.00       0.00     120.00     222.00       0.00
   14      30.00      13.00       0.00      84.00     120.00       0.00
   15      49.00      22.00       0.00      53.00     155.00       0.00
   16       9.00      19.00       0.00     151.00     182.00       0.00
   17      42.00      10.00       0.00      89.00     182.00       0.00
   18      44.00      43.00       0.00     319.00     351.00       0.00
   19       2.00      36.00       0.00     322.00     396.00       0.00
   20      32.00      18.00       0.00       0.00      60.00       0.00
   21       3.00      19.00       0.00     245.00     331.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
